TXNAME	GENEID	R2_HCC827.bam	R3_HCC827.bam	R1_HCC827.bam	R3_H1975.bam	R1_H1975.bam	R2_H1975.bam
BambuTx90	ENSG00000297093	137.88536	179.5	296.23901	198.56464	357.95961	204.8062
BambuTx91	BambuGene2444	0	0	0	10	18	7
BambuTx92	ENSG00000197959	31	62.52476	53.67207	70.00694	47.92548	64.83548
BambuTx93	ENSG00000180999	1	15	12	4	2	3
BambuTx94	BambuGene1021	4	9	5	7	7	8
BambuTx95	BambuGene2462	70	149	165	1055	1147	1007
BambuTx96	ENSG00000273384	0	7	6	22	23	15
BambuTx97	BambuGene2472	16	27	37	8	12	11
BambuTx98	ENSG00000116668	1.36485	1.4	7.57639	24.35714	10.57408	9.70862
BambuTx99	ENSG00000203724	33.31163	44.2635	53.83067	184.02948	153.79724	154.22801
BambuTx100	BambuGene2537	3	4	5	35	39	37
BambuTx101	BambuGene1084	2	4	4	7	7	12
BambuTx102	BambuGene2563	12	9	7	10	6	4
BambuTx103	ENSG00000163485	7.2141	13.38879	2.072	7.54533	0	2.88835
BambuTx104	ENSG00000299041	7	10	11	19	22	16.16295
BambuTx105	BambuGene2597	1	3	8	6	12	3
BambuTx106	ENSG00000170498	8.98475	7.77778	14	19.89101	11	14.42541
BambuTx107	ENSG00000186007	162.4343	216.30669	270.94773	211.33292	218.84304	178.22413
BambuTx108	ENSG00000186007	78.36929	105.14402	121.13307	113.49641	118.02598	132.82169
BambuTx109	ENSG00000281406	1.44197	10.22357	9.05564	6.49024	13.48821	4.76926
BambuTx110	ENSG00000295836	15	13	7	5	4	3
BambuTx111	ENSG00000162892	0	0	2.53526	32.16009	51.94999	61.90887
BambuTx112	ENSG00000185523	6	7	4	8	2	2
BambuTx113	ENSG00000174606	13.03337	35.78833	45.78557	166.88418	247.04673	176.15846
BambuTx114	ENSG00000174606	40.33005	44.33326	23.05721	98.54237	29.86449	101.51741
BambuTx115	ENSG00000162814	9.46875	7.4542	13.53799	24.55476	45.61742	16.69274
BambuTx116	BambuGene1206	32	5	13	16	16	10
BambuTx117	BambuGene2664	4	2	1	4	8	13
BambuTx118	ENSG00000307458	0	0	0	8	33	19
BambuTx119	ENSG00000236846	0	1	2	9	15	28
BambuTx120	ENSG00000234112	3	7	1	3	9	2
BambuTx121	ENSG00000242861	3.2	12	0	9	9	7
BambuTx122	ENSG00000243709	2.25	1	6	9	3	0
BambuTx123	BambuGene2730	0	0	0	2	9	0
BambuTx124	ENSG00000305780	0	5	13.5	5	9	5
BambuTx125	BambuGene2740	1	1	3	4	8	5
BambuTx126	ENSG00000233920	1	0	0	16	16	21
BambuTx127	ENSG00000236358	2	3	0	6	2	5
BambuTx128	ENSG00000143669	0	2.08016	5.03419	124.85724	180.87177	134.60346
BambuTx129	ENSG00000143669	2	5.91984	4.96581	161.93119	225.08195	173.39654
BambuTx130	ENSG00000302457	12.82356	18	14	47.93496	55	45
BambuTx131	ENSG00000182901	9.72253	12.80289	14.67269	26.83302	14.43324	21.41744
BambuTx132	ENSG00000054282	86.86256	86.82809	100.85262	308.76239	372.61825	352.75808
BambuTx133	ENSG00000054282	25.88841	30.69345	36.66347	146.40764	137.01681	133.41304
BambuTx134	ENSG00000300752	0	1	1	2	6	0
BambuTx135	BambuGene1386	0	0	6	15	11	20
BambuTx136	ENSG00000298524	0	4	7	20	8	10.63815
BambuTx137	ENSG00000303579	0	43	1.02922	19.90587	15.74987	6.45338
BambuTx138	BambuGene3380	4	1	4	3	5	8
BambuTx139	BambuGene2854	5	6	6	9	5	8
BambuTx140	ENSG00000151474	5	0	1	5	25	14
BambuTx141	ENSG00000272853	1.05507	0	3	23.07703	23.25911	30.80604
BambuTx142	ENSG00000235623	0	1	0	9	8	16
BambuTx143	ENSG00000274985	0	0	0	70.26848	41.17065	128.12337
BambuTx144	ENSG00000274985	0	0	0	138.73152	182.82935	191.87663
BambuTx145	BambuGene3459	7	2	7	7	11	8
BambuTx146	BambuGene2983	32	18	40	6	10	12
BambuTx147	ENSG00000095794	15.44127	12.81774	15.59131	37.606	47.30899	44.58951
BambuTx148	ENSG00000271335	4.41178	6.00422	2.65732	18.83969	18.61905	13.1896
BambuTx149	BambuGene2988	2	5	4	27	21	22
BambuTx150	BambuGene3494	0	0	0	4	4	0
BambuTx151	ENSG00000196693	15	39.08669	32.16761	133.66229	127.97551	123.70203
BambuTx152	ENSG00000198915	0	0	0	66.69966	69.91756	85.61326
BambuTx153	ENSG00000198915	0	0	0	34.00375	35.57209	53.33645
BambuTx154	ENSG00000198298	6.65736	9.34664	11.10869	3.09381	5.20388	0
BambuTx155	ENSG00000285402	1	0	1	6	11	7
BambuTx156	BambuGene3017	0	0	1	3	10	8
BambuTx157	ENSG00000254271	0	6	2	11	11.74397	8
BambuTx158	ENSG00000072422	6	4	6	73	65	66.81725
BambuTx159	ENSG00000214881	56	59	96	81	93	97
BambuTx160	ENSG00000042286	10.75859	17.81815	19.95035	123.58284	151.88292	123.52
BambuTx161	ENSG00000156521	13.47803	10.15138	13.87471	61.20814	47.13669	57.15249
BambuTx162	ENSG00000166295	139.2532	196.97203	214.64742	660.64512	708.73702	612.6134
BambuTx163	BambuGene3620	3	3	2	1507.78405	1171.55266	1597.36436
BambuTx164	BambuGene3620	1	11	1	1045.21595	1035.44734	739.63564
BambuTx165	ENSG00000148719	337.14909	452.40388	440.61861	217.49725	249.87455	228.45152
BambuTx166	ENSG00000293542	6	16	14	1	1	1
BambuTx167	ENSG00000230417	0	0	0	2	8	4
BambuTx168	BambuGene3685	54	70	112	61	63	66
BambuTx169	ENSG00000235100	4	11	4	17	10.98048	13
BambuTx170	BambuGene3167	0	0	1	13	17	6
BambuTx171	ENSG00000148688	71.62599	104.30181	113.2286	166.38136	215.18018	236.04762
BambuTx172	ENSG00000176273	0	7.85481	1	28.9957	22.93403	10.8701
BambuTx173	ENSG00000119943	28	24	39.54817	22	44	26.96107
BambuTx174	ENSG00000298413	20	19	38.91892	124.16667	116	103
BambuTx175	ENSG00000107882	18	14	12	21	31	30.41754
BambuTx176	ENSG00000065618	199.62077	244.5276	251.23044	754.5959	627.04306	669.56327
BambuTx177	ENSG00000197748	8	8	2	12.50225	3.05486	10.21178
BambuTx178	ENSG00000228484	0	0	0	10	13	10
BambuTx179	ENSG00000295480	7	1	4	4	6	4
BambuTx180	ENSG00000220842	58095.32359	50295.33984	64757.74588	24165.98801	27865.87069	23901.82428
BambuTx181	BambuGene3857	2	4	5	6	5	0
BambuTx182	ENSG00000107672	18.5914	46.52901	49.58696	134.39269	124.10328	151.38582
BambuTx183	ENSG00000107679	16.2607	30.90038	34.09201	32.40611	53.93775	44.65428
BambuTx184	ENSG00000179988	56.3224	89.43927	124.53092	261.62402	319.8046	267.86477
BambuTx185	BambuGene3865	1	8	9	4	10	4
BambuTx186	ENSG00000305416	15	26	19	4	4	10
BambuTx187	ENSG00000180745	9	3	1	5	3.26064	10
BambuTx188	ENSG00000227076	11	5	8	29	29	26
BambuTx189	ENSG00000237489	5	13.38462	23.09239	23.41909	25.06585	19.079
BambuTx190	ENSG00000298639	1	1	3	6.23434	19.74014	18.65937
BambuTx191	ENSG00000165752	93.96861	83.30756	116	118.48218	186.1355	166.65991
BambuTx192	ENSG00000308672	1.33333	1	0.33333	4	3	5
BambuTx193	BambuGene3899	6	1	8	5	2	1
BambuTx194	ENSG00000177042	98.6924	160.69411	169.74133	157.0944	139.33192	119.21121
BambuTx195	BambuGene4609	284	68	104	48	34	44
BambuTx196	BambuGene3917	0	0	0	5	1	1
BambuTx197	BambuGene3931	9	2	5	57	34	45
BambuTx198	ENSG00000295409	5	0	1	7	3	0.5
BambuTx199	ENSG00000305647	42	43	58	72	84	49
BambuTx200	BambuGene4629	0	0	0	12	6	8
BambuTx201	ENSG00000166407	0	0	0	54.64771	76	52.82789
BambuTx202	ENSG00000110328	20.80301	12.61191	9.48123	12.41045	7.41718	10.60505
BambuTx203	ENSG00000133818	0	2.31465	0	71.08108	84.16011	94.75507
BambuTx204	BambuGene4707	8	1	4	13	14	8
BambuTx205	ENSG00000247595	110	126	172	358	452.99558	325.97557
BambuTx206	ENSG00000307501	0	1	2	4	0	4
BambuTx207	BambuGene4762	1	0	0	44	42	27
BambuTx208	BambuGene4031	8	7	8	14	14	17
BambuTx209	ENSG00000179431	53.15279	22.01626	51.50327	41.22372	59.54488	51.72803
BambuTx210	BambuGene4039	0	0	0	3	13	9
BambuTx211	BambuGene4049	1	0	1	138.80702	152	128
BambuTx212	BambuGene4049	0	0	0	33.19298	47	30
BambuTx213	ENSG00000254519	0	0	0	10	1	1
BambuTx214	ENSG00000181903	20	36	27	32	19	25
BambuTx215	ENSG00000256591	27	52	64	87	92	74
BambuTx216	ENSG00000124915	15	23	35	1	2	0
BambuTx217	ENSG00000149016	31	55.24449	55.54414	73.84809	82.56098	83
BambuTx218	ENSG00000149489	8.8	11	18.56078	62.74763	53.57462	46.81952
BambuTx219	BambuGene4935	167	200	253	145	213	135
BambuTx220	BambuGene4937	1	10	17	7	1	0
BambuTx221	ENSG00000298107	17.73556	9.81818	12.36779	5	7.33333	22.74725
BambuTx222	ENSG00000149761	423.47566	600.69533	475.84536	103.51405	89.74552	112.83478
BambuTx223	ENSG00000173486	1886.49994	1686.40871	2074.87143	983.16949	1040.13093	981.45054
BambuTx224	ENSG00000173457	446.79569	283.75624	504.76771	144.14787	133.76387	118.90673
BambuTx225	ENSG00000257069	10	7	14	1	2	2
BambuTx226	ENSG00000219435	85.67092	125.68017	134.74426	38.29671	31.4621	31.81686
BambuTx227	ENSG00000168061	82.81625	51.86494	62.28946	74.32612	64.50171	34.23674
BambuTx228	ENSG00000175294	77.81162	89.85261	94.81298	38.724	56.07354	80.59266
BambuTx229	ENSG00000254452	24.85714	68	82	35	58.96552	35
BambuTx230	ENSG00000256514	42.60432	47	30	164.01242	176.34375	166.64844
BambuTx231	BambuGene4282	0	0	0	5	0	8
BambuTx232	BambuGene5069	68	14	19	11	22	3
BambuTx233	ENSG00000132746	73.71453	56.20857	48.1063	116.434	123.54011	128.79217
BambuTx234	ENSG00000290995	7	13	30	47	34	61
BambuTx235	BambuGene5071	1	2	0	9.5	11	11.86147
BambuTx236	BambuGene5071	0	0	1	9.5	0	2.13853
BambuTx237	BambuGene5076	16	8	8	2	3	3
BambuTx238	ENSG00000171067	49.58843	64.63445	63.33043	249.22014	345.7674	347.95062
BambuTx239	BambuGene5103	0	1	1	12	8	4
BambuTx240	ENSG00000260877	13	17	17	168	139	152
BambuTx241	BambuGene5110	1	4	8	42	40	37
BambuTx242	BambuGene5117	0	0	0	28	29	28
BambuTx243	ENSG00000172890	32	33.69392	46.19449	153.03536	202.89786	157.29635
BambuTx244	ENSG00000150672	2	1	3	10.63893	17.9142	11.17933
BambuTx245	ENSG00000174804	4	3	6	31	31.37805	18
BambuTx246	ENSG00000166575	22.56233	55.24071	50.57276	50.20022	71.27499	42.00735
BambuTx247	BambuGene5229	45	50	84	205	217	195
BambuTx248	ENSG00000020922	1.5815	0	0	38.1175	66.04963	42.21971
BambuTx249	ENSG00000077458	0	2.93296	12.17076	35.95014	47.37913	30.29047
BambuTx250	BambuGene5244	12	15	11	24	28	13
BambuTx251	ENSG00000170903	21.52005	19.4368	7.34152	40.54653	52.87632	30.10942
BambuTx252	BambuGene4469	0	0	0	152	165	157
BambuTx253	ENSG00000287245	2	7	6	5	1	8
BambuTx254	ENSG00000110375	8.8	26.44888	45.02703	24.44444	31.77778	49.83333
BambuTx255	ENSG00000181264	154.52998	190.72454	384.15411	160.3383	213.6493	267.01687
BambuTx256	BambuGene5357	0	0	0	6	5	4
BambuTx257	BambuGene5357	0	0	0	6	8	12
BambuTx258	ENSG00000255045	0	1.07956	0	24	17.73549	7.33333
BambuTx259	ENSG00000134955	38.05285	48.78017	34.56616	23.0066	13.64729	18.81666
BambuTx260	ENSG00000134955	2	2	1	67	64	40
BambuTx261	ENSG00000297941	2	3	2	25.625	24	17
BambuTx262	ENSG00000110060	62.4322	66.09905	92.78652	158.36921	130.23663	149.03858
BambuTx263	ENSG00000254759	8	1.33551	7.68206	18	17.41874	19
BambuTx264	ENSG00000254759	0	0	0	0	0.58126	0
BambuTx265	ENSG00000254842	0.5	2	0	57.29606	72.90887	67.1142
BambuTx266	ENSG00000111224	0	0	0	23.62979	24.7271	28.78312
BambuTx267	ENSG00000247853	7	10.15699	5.99372	15	21	18
BambuTx268	ENSG00000126746	56.56901	110.3601	89.95116	29.28557	18.52984	20.7889
BambuTx269	ENSG00000126746	60.87807	91.32504	66.99277	30.25866	32.64729	40.70574
BambuTx270	ENSG00000289303	3	6	11	6	3	6
BambuTx271	ENSG00000139178	73.89507	126.13999	156.245	35.91508	26.93047	21.20224
BambuTx272	ENSG00000212127	0	7.63636	7.2	16.15078	19	28.6
BambuTx273	ENSG00000275778	10	16	16	36.62069	34.82353	46
BambuTx274	ENSG00000255837	36.4	73.42466	106.41071	150.9404	141.92806	152.88
BambuTx275	ENSG00000231887	7	6.4	1.20786	38	30	18
BambuTx276	ENSG00000183150	6	4.09365	5.40401	8.18878	11	12
BambuTx277	ENSG00000197837	0	1	0	5.83333	2.01737	2
BambuTx278	ENSG00000197837	14	5	14.61817	15.16667	20.1737	6
BambuTx279	ENSG00000084463	348.37736	446.64564	430.90415	351.55409	338.43258	357.81081
BambuTx280	BambuGene5496	0	1	2	4	10	12
BambuTx281	BambuGene6204	14	24	40	15	10	12
BambuTx282	ENSG00000121350	8.56337	34.76464	38.11111	60.2857	47.15786	50.26361
BambuTx283	ENSG00000004700	6.32789	3.29706	9.2772	43.78568	50.11002	49.97445
BambuTx284	ENSG00000255921	0	1	0	3.75	1	6
BambuTx285	ENSG00000248100	0	0	0	4	0	1
BambuTx286	BambuGene5518	7	6	8	36	28	46
BambuTx287	ENSG00000139146	74.6315	89.63541	94.31745	216.95394	88.28824	184.05936
BambuTx288	ENSG00000139146	74.6315	89.63541	94.31745	0	88.28824	0.00002
BambuTx289	ENSG00000256843	76	101	88	738	791	717
BambuTx290	ENSG00000306285	5.6	1	4	35	29.09091	30.47619
BambuTx291	BambuGene6266	0	1	0	12	26	18
BambuTx292	ENSG00000256538	2	3	0	2	8.88889	6
BambuTx293	ENSG00000303166	14	3	10.37037	35.63636	50.98649	31.5
BambuTx294	ENSG00000304126	0	1	1	5	3	8
BambuTx295	ENSG00000257114	1	2.07394	4.36497	2.23153	19.97455	9.08949
BambuTx296	BambuGene6282	0	0	0	67	83	41
BambuTx297	ENSG00000179715	18	26	42	87.88611	89.9019	83
BambuTx298	BambuGene5579	0	3	1	49	22	30
BambuTx299	ENSG00000309040	19	18	13	19	16	19
BambuTx300	ENSG00000310242	3	3	5	6.58797	14.42404	6
BambuTx301	ENSG00000310270	4	9	12	57	46	49
BambuTx302	BambuGene5583	10	8	5	54	40	51
BambuTx303	ENSG00000005175	66.07821	72.27298	109.87864	162.72665	127.60988	188.54028
BambuTx304	ENSG00000257913	5.07403	7	17.3171	13	17	15.18292
BambuTx305	BambuGene6305	1	5	11	6	4	4
BambuTx306	BambuGene6330	3	2	6	5	3	8
BambuTx307	BambuGene6337	9	33	70	53	42	54
BambuTx308	BambuGene6339	0	0	0	34	24	10
BambuTx309	ENSG00000296574	19	0	22	16	27	14
BambuTx310	ENSG00000180818	63.72005	71.5609	104.28244	11.73803	27.13937	24.96875
BambuTx311	ENSG00000197757	1.51997	1.69666	10.94161	14.15894	7.59719	15.58035
BambuTx312	ENSG00000037965	8.75	3.11111	5.75	31.35135	22	32
BambuTx313	BambuGene6383	0	0	0	13	8	11
BambuTx314	ENSG00000025423	0	0	0	197.51343	174.37573	147.45775
BambuTx315	ENSG00000303268	0	0	0	62	64	52
BambuTx316	ENSG00000303268	0	0	0	6.20408	17.6129	15.2
BambuTx317	ENSG00000185633	20.45455	50.52174	44.24568	4.66667	5.88235	9.47368
BambuTx318	ENSG00000257921	3.16667	0	7.48276	18.44068	28.83582	17.39535
BambuTx319	BambuGene6428	0	0	0	4	3	3
BambuTx320	ENSG00000198673	3.19869	21.65039	27.77155	29.08137	32.29432	31.84613
BambuTx321	ENSG00000118600	64.84499	86.91683	99.13868	189.86378	217.09343	209.07104
BambuTx322	ENSG00000296964	15	2	7	3	3	5
BambuTx323	BambuGene6452	0	14	15	18	19	21
BambuTx324	ENSG00000256083	4	2	4	6	5	2
BambuTx325	BambuGene6462	0	2	0	6	4	1
BambuTx326	ENSG00000127325	0	1	0	5	5	7
BambuTx327	BambuGene6489	0	0	0	94	88	74
BambuTx328	ENSG00000307941	0	0	0	10	10	3
BambuTx329	ENSG00000139291	10.88601	14.00363	21.22905	99.80927	118.92341	97.36392
BambuTx330	ENSG00000273987	0	5.95685	7	7	6	5
BambuTx331	ENSG00000180881	2.66667	6	3	4.57143	6.66667	9.33333
BambuTx332	ENSG00000180881	2	2	6	25.86133	42.5417	33.89179
BambuTx333	ENSG00000257839	0	1	6	5	6.66667	3
BambuTx334	BambuGene5809	6	11	24	28	4	19
BambuTx335	BambuGene5813	0	0	0	36	44	25.05556
BambuTx336	BambuGene5813	0	0	0	7	13	15.94444
BambuTx337	ENSG00000296741	0.5	2	5	11	6	12
BambuTx338	ENSG00000281333	5	2.10094	16.14064	0	5.17145	0
BambuTx339	ENSG00000281333	26.51452	38.12689	47.48273	70.47998	76.83757	73.64265
BambuTx340	ENSG00000305639	0	0	0	18	17	22
BambuTx341	ENSG00000258303	0	1	10	10	6	12
BambuTx342	ENSG00000180263	7.05331	17.88393	39.59328	22.62766	30.30366	58.77629
BambuTx343	BambuGene5852	21	20	30	3	7	3
BambuTx344	BambuGene6555	0	4	0	5	2	2
BambuTx345	BambuGene5881	0	0	0	16	13	3
BambuTx346	ENSG00000301737	1	1	0	15	5	5.38462
BambuTx347	BambuGene5896	0	1	0	5	12	3
BambuTx348	ENSG00000135093	6.89456	18.31171	9.15181	9.04065	14.04902	19.37967
BambuTx349	ENSG00000189046	80.87536	129.78697	125.31226	138.71289	147.4869	155.27817
BambuTx350	ENSG00000258240	1	0	3	59.83039	36	44
BambuTx351	ENSG00000135116	0	0	0	35.90773	48.06701	42.67045
BambuTx352	ENSG00000256811	18	26	26	39	32.67181	30
BambuTx353	ENSG00000256811	14	9	17	41.40741	17.32819	25
BambuTx354	ENSG00000158023	1268.77259	1419.95441	1832.09212	1432.2845	1444.43801	1372.67594
BambuTx355	ENSG00000158023	1341.27388	1310.97371	1572.45207	1090.14628	1235.76074	1114.3414
BambuTx356	ENSG00000284934	5	0	3	2	4	12
BambuTx357	ENSG00000280138	9	3	12.42857	8	20	13.65
BambuTx358	BambuGene6800	0	0	0	4	0	4
BambuTx359	ENSG00000303311	2.33333	3	13.93333	14	23.76	13.93333
BambuTx360	BambuGene6048	725.30877	347	406	300.63025	276.28901	210
BambuTx361	BambuGene6048	1623.69123	774	899	653.36975	679.71099	605
BambuTx362	BambuGene6818	0	0	0	3	10	3
BambuTx363	ENSG00000256151	50.61245	62.57247	52.64687	216.88611	370.07721	312.74949
BambuTx364	ENSG00000256151	13.49665	8.95806	10.23689	98.64188	60.69619	81.59106
BambuTx365	ENSG00000273568	37.29446	9.70082	20.21865	3	2.15463	2
BambuTx366	ENSG00000250790	1	3	5	23	12	9
BambuTx367	ENSG00000198393	0	1.79981	1.42222	5.84286	0	8.44898
BambuTx368	ENSG00000196387	5.38829	3.93661	1.48737	34.94881	34.00731	32.63638
BambuTx369	ENSG00000090612	18.10092	22.11715	25.18107	23.09692	27.8536	25.7007
BambuTx370	ENSG00000289688	1	7	4.28571	32.66667	24.12766	33.62264
BambuTx371	ENSG00000294408	6	5	4	11	2	4
BambuTx372	ENSG00000304203	6	4	8	7	8	14
BambuTx373	ENSG00000223685	0	1	2	27.5226	18	10.77089
BambuTx374	ENSG00000102743	9.33602	8.00283	10.36453	15.03106	12.1269	21.97875
BambuTx375	ENSG00000151773	19	20	32.06756	55.1671	46.32402	47.03212
BambuTx376	ENSG00000102547	7	9	21	32	31	23
BambuTx377	BambuGene6930	0	0	0	17	21	14
BambuTx378	ENSG00000261105	1	2	0	8.5	4	3.3
BambuTx379	BambuGene7175	0	0	0	18	21	12
BambuTx380	ENSG00000152749	0	5.83838	1.1797	6.42672	11.31297	10.63173
BambuTx381	ENSG00000223392	46	48.67347	66.90909	71	63	59
BambuTx382	ENSG00000125246	0	0	1.93587	37.10101	53.2959	36.54641
BambuTx383	ENSG00000134864	3.46338	8.16491	4.44977	0	3.78689	6.90204
BambuTx384	ENSG00000102452	7.67343	13.54207	5.00826	29.56801	33.19755	29.95108
BambuTx385	ENSG00000174405	1	6	11.41449	12.83179	4	5.16124
BambuTx386	ENSG00000303952	9	1	11.23493	62	89	99
BambuTx387	ENSG00000289010	3	4	1	3	0	2
BambuTx388	ENSG00000290808	1	0	0	28.77312	16	22.75243
BambuTx389	ENSG00000153495	0	0	0	35.56757	49.85366	29.79545
BambuTx390	ENSG00000153495	0	0	0	11.43243	23.14634	27.20455
BambuTx391	BambuGene7035	10	11	14	26	12	18
BambuTx392	BambuGene7223	1	0	0	12	11	8.53333
BambuTx393	BambuGene7223	0	1	0	15	14	7.46667
BambuTx394	BambuGene7238	0	0	0	7	18	15
