TXNAME	GENEID	R2_HCC827	R3_HCC827	R1_HCC827	R3_H1975	R1_H1975	R2_H1975
BambuTx244	ENSG00000150672	2	1	1	6	2	5
BambuTx245	ENSG00000174804	4	3	6	26	25	16
BambuTx246	ENSG00000166575	1	48	41	38	55	34
BambuTx247	BambuGene5229	35	21	63	92	83	91
BambuTx248	ENSG00000020922	1	0	0	12	27	35
BambuTx249	ENSG00000077458	0	2	6	10	11	14
BambuTx250	BambuGene5244	5	7	2	18	12	9
BambuTx251	ENSG00000170903	6	9	3	17	20	16
BambuTx252	BambuGene4469	0	0	0	121	134	126
BambuTx253	ENSG00000287245	2	6	6	4	1	8
BambuTx254	ENSG00000110375	6	22	33	22	21	39
BambuTx255	ENSG00000181264	98	104	142	108	120	110
BambuTx256	BambuGene5357	0	0	0	6	5	4
BambuTx257	BambuGene5357	0	0	0	6	8	12
BambuTx258	ENSG00000255045	0	1	0	13	16	5
BambuTx259	ENSG00000134955	10	28	20	14	8	14
BambuTx260	ENSG00000134955	2	1	1	66	64	40
BambuTx261	ENSG00000297941	2	3	2	24	24	17
BambuTx262	ENSG00000110060	29	49	56	111	96	112
BambuTx263	ENSG00000254759	0	0	0	4	0	2
BambuTx264	ENSG00000254759	0	0	0	0	0.39077	0
BambuTx265	ENSG00000254842	0	1	0	25	45	41
BambuTx266	ENSG00000111224	0	0	0	20	22	25
BambuTx267	ENSG00000247853	0	2	4	5	6	9
BambuTx268	ENSG00000126746	13	39	23	11	5	5
BambuTx269	ENSG00000126746	9	33	20	7	8	17
BambuTx270	ENSG00000289303	1	4	8	6	3	1
BambuTx271	ENSG00000139178	48	64	85	23	15	13
BambuTx272	ENSG00000212127	0	4	3	8	8	16
BambuTx273	ENSG00000275778	10	14	14	35	31	44
BambuTx274	ENSG00000255837	27	63	97	146	136	136
BambuTx275	ENSG00000231887	6	2	0	31	26	15
BambuTx276	ENSG00000183150	6	4	4	8	11	12
BambuTx277	ENSG00000197837	0	0	0	5	0	2
BambuTx278	ENSG00000197837	13	5	11	11	17	5
BambuTx279	ENSG00000084463	37	121	43	38	30	42
BambuTx280	BambuGene5496	0	1	2	4	8	12
BambuTx281	BambuGene6204	11	21	39	13	7	12
BambuTx282	ENSG00000121350	4	29	20	40	27	33
BambuTx283	ENSG00000004700	1	2	5	20	24	22
BambuTx284	ENSG00000255921	0	0	0	2	1	6
BambuTx285	ENSG00000248100	0	0	0	4	0	1
BambuTx286	BambuGene5518	0	1	1	5	1	9
BambuTx287	ENSG00000139146	17.5	29	32.5	77	29	66
BambuTx288	ENSG00000139146	20	23.5	20.5	0	19.5	1e-05
BambuTx289	ENSG00000256843	37	58	57	571	600	546
BambuTx290	ENSG00000306285	0	0	0	6	0	4
BambuTx291	BambuGene6266	0	0	0	12	18	12
BambuTx292	ENSG00000256538	0	3	0	1	8	3
BambuTx293	ENSG00000303166	13	3	7	27	38	26
BambuTx294	ENSG00000304126	0	1	1	5	3	8
BambuTx295	ENSG00000257114	1	2	4	1	14	8
BambuTx296	BambuGene6282	0	0	0	39	54	33
BambuTx297	ENSG00000179715	18	24	41	82	81	80
BambuTx298	BambuGene5579	0	3	1	26	16	18
BambuTx299	ENSG00000309040	6	16	12	13	12	17
BambuTx300	ENSG00000310242	2	3	5	4	11	5
BambuTx301	ENSG00000310270	4	4	5	27	28	28
BambuTx302	BambuGene5583	8	7	4	46	28	40
BambuTx303	ENSG00000005175	22	37	76	74	77	118
BambuTx304	ENSG00000257913	4	6	17	8	8	11
BambuTx305	BambuGene6305	1	0	3	1	3	3
BambuTx306	BambuGene6330	1	2	6	5	3	8
BambuTx307	BambuGene6337	5	22	49	46	36	45
BambuTx308	BambuGene6339	0	0	0	23	22	7
BambuTx309	ENSG00000296574	1	0	0	8	19	8
BambuTx310	ENSG00000180818	30	47	71	9	15	19
BambuTx311	ENSG00000197757	1	1	6	9	5	10
BambuTx312	ENSG00000037965	6	2	5	29	22	32
BambuTx313	BambuGene6383	0	0	0	9	4	6
BambuTx314	ENSG00000025423	0	0	0	147	133	116
BambuTx315	ENSG00000303268	0	0	0	56	61	52
BambuTx316	ENSG00000303268	0	0	0	3	11	12
BambuTx317	ENSG00000185633	15	40	33	4	5	9
BambuTx318	ENSG00000257921	3	0	7	15	24	16
BambuTx319	BambuGene6428	0	0	0	3	3	3
BambuTx320	ENSG00000198673	3	18	18	26	21	26
BambuTx321	ENSG00000118600	26	56	56	114	117	131
BambuTx322	ENSG00000296964	14	2	7	3	3	4
BambuTx323	BambuGene6452	0	8	8	14	0	16
BambuTx324	ENSG00000256083	4	2	4	6	5	1
BambuTx325	BambuGene6462	0	2	0	5	4	1
BambuTx326	ENSG00000127325	0	1	0	5	4	7
BambuTx327	BambuGene6489	0	0	0	38	31	27
BambuTx328	ENSG00000307941	0	0	0	10	9	1
BambuTx329	ENSG00000139291	5	12	18	79	82	76
BambuTx330	ENSG00000273987	0	3	4	4	5	5
BambuTx331	ENSG00000180881	0	5	1	1	5	6
BambuTx332	ENSG00000180881	1	0	1	10	16	16
BambuTx333	ENSG00000257839	0	1	6	5	6	3
BambuTx334	BambuGene5809	6	11	24	17	4	10
BambuTx335	BambuGene5813	0	0	0	35	40	21
BambuTx336	BambuGene5813	0	0	0	6	10	14
BambuTx337	ENSG00000296741	0	1	4	10	5	11
BambuTx338	ENSG00000281333	5	1.03119	10	0	3.94519	0
BambuTx339	ENSG00000281333	1	18	0	28	45	34
BambuTx340	ENSG00000305639	0	0	0	18	17	21
BambuTx341	ENSG00000258303	0	1	10	4	6	3
BambuTx342	ENSG00000180263	3	14	27	15	18	40
BambuTx343	BambuGene5852	19	19	26	2	6	2
BambuTx344	BambuGene6555	0	4	0	5	2	1
BambuTx345	BambuGene5881	0	0	0	13	7	2
BambuTx346	ENSG00000301737	1	1	0	15	5	4
BambuTx347	BambuGene5896	0	1	0	5	12	3
BambuTx348	ENSG00000135093	2	12	6	6	8	11
BambuTx349	ENSG00000189046	56	109	86	115	114	131
BambuTx350	ENSG00000258240	0	0	0	7	0	2
BambuTx351	ENSG00000135116	0	0	0	35	46	42
BambuTx352	ENSG00000256811	12	23	24	35	29	27
BambuTx353	ENSG00000256811	5	4	6	26	10	16
BambuTx354	ENSG00000158023	993	1309	1576	1265	1301	1240
BambuTx355	ENSG00000158023	1043	1210	1373	956	1106	999
BambuTx356	ENSG00000284934	4	0	0	2	2	11
BambuTx357	ENSG00000280138	9	3	12	8	20	13
BambuTx358	BambuGene6800	0	0	0	4	0	3
BambuTx359	ENSG00000303311	1	3	11	9	20	9
BambuTx360	BambuGene6048	485	100	133	84	75	54
BambuTx361	BambuGene6048	1360	606	741	506	646	494
BambuTx362	BambuGene6818	0	0	0	2	5	3
BambuTx363	ENSG00000256151	15	28	36	126	193	174
BambuTx364	ENSG00000256151	4	4	7	65	34	47
BambuTx365	ENSG00000273568	20	8	8	2	2	2
BambuTx366	ENSG00000250790	1	3	5	22	11	9
BambuTx367	ENSG00000198393	0	0	1	2	0	5
BambuTx368	ENSG00000196387	2	2	1	22	23	20
BambuTx369	ENSG00000090612	7	20	20	17	22	21
BambuTx370	ENSG00000289688	1	4	3	28	21	33
BambuTx371	ENSG00000294408	6	5	4	10	1	3
BambuTx372	ENSG00000304203	6	4	5	7	7	10
BambuTx373	ENSG00000223685	0	1	0	24	18	5
BambuTx374	ENSG00000102743	0	0	0	4	5	7
BambuTx375	ENSG00000151773	15	17	27	43	34	39
BambuTx376	ENSG00000102547	5	8	21	25	26	20
BambuTx377	BambuGene6930	0	0	0	14	19	10
BambuTx378	ENSG00000261105	1	2	0	8	4	3
BambuTx379	BambuGene7175	0	0	0	7	14	7
BambuTx380	ENSG00000152749	0	5	1	6	9	9
BambuTx381	ENSG00000223392	31	40	58	59	57	50
BambuTx382	ENSG00000125246	0	0	0	19	23	15
BambuTx383	ENSG00000134864	2	6	3	0	3	5
BambuTx384	ENSG00000102452	6	9	2	21	22	18
BambuTx385	ENSG00000174405	1	6	10	12	4	5
BambuTx386	ENSG00000303952	0	0	0	27	41	41
BambuTx387	ENSG00000289010	1	4	1	3	0	1
BambuTx388	ENSG00000290808	0	0	0	11	5	9
BambuTx389	ENSG00000153495	0	0	0	27	25	22
BambuTx390	ENSG00000153495	0	0	0	8	12	19
BambuTx391	BambuGene7035	0	2	2	14	3	5
BambuTx392	BambuGene7223	0	0	0	12	10	7
BambuTx393	BambuGene7223	0	0	0	15	14	7
BambuTx394	BambuGene7238	0	0	0	6	13	13
BambuTx395	ENSG00000260830	1	5	3	4	4	5
BambuTx396	BambuGene7275	2	10	5	2	0	4
BambuTx397	ENSG00000254505	0	8	6	14	11	10
BambuTx398	ENSG00000278784	12	19	22	8	11	6
BambuTx399	ENSG00000157379	3	0	0	64	81	87
BambuTx400	ENSG00000203546	22	45	42	80	74	72
BambuTx401	ENSG00000257585	11	25	30	5	4	2
BambuTx402	ENSG00000283098	5	7	15	26	31	32
BambuTx403	ENSG00000229415	44	116	118	47	65	50
BambuTx404	ENSG00000257520	28	40	24	24	14	29
BambuTx405	BambuGene7360	42	43	45	53	68	57
BambuTx406	BambuGene7804	41	41	62	41	36	36
BambuTx407	ENSG00000298237	11	2	1	3	6	4
BambuTx408	BambuGene7372	1	0	2	7	1	1
BambuTx409	ENSG00000260046	9	10	6	14	20	19
BambuTx410	BambuGene7386	160	184	199	354	278	223
BambuTx411	ENSG00000125375	42	29	46	74	55	65
BambuTx412	ENSG00000258857	9	15	19	20	19	18
BambuTx413	ENSG00000258857	0	6	5	5	2	3
BambuTx414	BambuGene7404	0	4	3	4	0	0
BambuTx415	ENSG00000100532	7	9	13	38	47	52
BambuTx416	BambuGene7884	3	1	3	132	157	137
BambuTx417	ENSG00000126790	15	25	16	209	209	218
BambuTx418	ENSG00000126778	10	8	25	19	17	15
BambuTx419	BambuGene7899	6	6	3	22	21	11
BambuTx420	ENSG00000089775	24	21	40	76	106	110
BambuTx421	ENSG00000165807	1	3	2	11	2	7
BambuTx422	BambuGene7925	0	5	1	3	3	1
BambuTx423	BambuGene7455	0	0	0	6	7	8
BambuTx424	ENSG00000302621	1	2	7	14	22	21
BambuTx425	BambuGene7469	3	4	4	26	19	15
BambuTx426	BambuGene7469	0	0	4	5	6.22143	5
BambuTx427	ENSG00000301622	2	1	0	9	4	13
BambuTx428	ENSG00000259033	0	0	0	124	130	94
BambuTx429	ENSG00000139985	2	1	2	18	20	17
BambuTx430	ENSG00000258813	0	0	1	4	2	8
BambuTx431	BambuGene8000	8	11	19	36	31	25
BambuTx432	BambuGene8000	10	11	22	22	29	27
BambuTx433	BambuGene8014	0	0	1	8	10	12
BambuTx434	ENSG00000284959	4	8	11	10	14	9
BambuTx435	ENSG00000273783	0	0	0	11	16	8
BambuTx436	ENSG00000258859	0	0	0	3	5	5
BambuTx437	ENSG00000302141	0	0	0	9	1	9
BambuTx438	ENSG00000308283	9	9	14	4	4	3
BambuTx439	ENSG00000187581	21	19	34	33	48	27
BambuTx440	ENSG00000309132	0	6	11	2	1	0
BambuTx441	ENSG00000258383	0	0	0	8	7	0
BambuTx442	BambuGene7624	2	0	1	30	21	29
BambuTx443	ENSG00000080824	0	2	3	20	23	17
BambuTx444	ENSG00000140153	12	21	31	112	94	88
BambuTx445	BambuGene7680	178	12	15	48	43	50
BambuTx446	BambuGene7680	0	115	42.56686	261.25378	276.88592	74.34322
BambuTx447	ENSG00000185567	135	134	238	214	243	244
BambuTx448	ENSG00000213145	14	17	23	29	35	34
BambuTx449	ENSG00000224650	4	5	7	3	4	5
BambuTx450	ENSG00000286110	0	0	0	6	0	0
BambuTx451	BambuGene8214	6	8	1	4	4	2
BambuTx452	ENSG00000104044	0	0	0	4	0	1
BambuTx453	ENSG00000169918	0	0	0	2	3	7
BambuTx454	BambuGene8271	16	0	0	0	8	10
BambuTx455	BambuGene8271	0	16	19	19	18	20
BambuTx456	ENSG00000137843	6	12	2	13	16	13
BambuTx457	ENSG00000128891	13	27	22	42	46	29
BambuTx458	ENSG00000159433	0	4	2	5	13	7
BambuTx459	ENSG00000246283	0	7	9	5	1	4
BambuTx460	ENSG00000221792	52	58	80	77	90	87
BambuTx461	ENSG00000242028	28	23	32	28	36	36
BambuTx462	BambuGene8716	3	1	1	6	3	0
BambuTx463	ENSG00000166262	0	3	2	18	13	20
BambuTx464	ENSG00000138600	2	14	7	68	52	107
BambuTx465	ENSG00000180304	0	40.73547	0	5.07298	70.5	60.58048
BambuTx466	ENSG00000180304	421	474.35568	663.99997	1121.11115	659.5	880.84391
BambuTx467	ENSG00000295919	0	4	2	2	5	2
BambuTx468	ENSG00000138617	0	0	0	73	68	53
BambuTx469	ENSG00000075131	1	7	6	55	51	48
BambuTx470	ENSG00000261351	5	4	8	9	17	4
BambuTx471	ENSG00000138604	20	55	67	35	38	39
BambuTx472	ENSG00000137819	2	7	0	4	1	6
BambuTx473	BambuGene8495	0	0	0	5	2	2
BambuTx474	ENSG00000178718	0	0	9	5	5	0
BambuTx475	ENSG00000117971	0	2	3	61	58	55
BambuTx476	ENSG00000259332	0	4	0	4	0	0
BambuTx477	ENSG00000136371	212	327	391	404	364	407
BambuTx478	ENSG00000304288	0	0	0	4	4	1
BambuTx479	BambuGene8902	0	1	0	2	1	5
BambuTx480	BambuGene8954	0	2	5	3	5	4
BambuTx481	ENSG00000185442	0	0	0	17	17	9
BambuTx482	ENSG00000257060	0	0	4	21	22	16
BambuTx483	ENSG00000168904	17	16	28	14	15	15
BambuTx484	ENSG00000189419	1	3	2	31	32	21
BambuTx485	ENSG00000278987	0	4	5	2	6	1
BambuTx486	ENSG00000278987	2	7	3	1	2	3
BambuTx487	ENSG00000295233	1	1	0	16	16	17
BambuTx488	ENSG00000183971	20	29	26	91	86	95
BambuTx489	ENSG00000259933	4	7.55084	6	31	27	37
BambuTx490	ENSG00000259933	2	5	4	12	21	12
BambuTx491	BambuGene9054	0	0	0	4	0	0
BambuTx492	BambuGene9063	0	1	1	2	3	0
BambuTx493	ENSG00000306338	3	0	4	7	13	6
BambuTx494	ENSG00000285329	16	32	46	19	19	20
BambuTx495	BambuGene9812	5	10	12	27	27	16
BambuTx496	ENSG00000302150	0	3	5	31	33	45
BambuTx497	ENSG00000166780	0	1	0	16	25	34
